name1,name2,distance
Gulu,Lainya,357.39
Gulu,Lekr,161.57
Gulu,Lolimi,378.4
Gulu,Magwi,149.67
Gulu,Malakal,1522.87
Gulu,Malut,1380.64
Gulu,Maridi,489.6
Gulu,Mayom,1039.76
Gulu,Melut,1410.95
Gulu,Mongalla,462.26
Gulu,Mundri,468.45
Gulu,Mvolo,561.04
Gulu,Nasir,1185.14
Gulu,Pariang,1050.35
Gulu,Pibor,595.06
Gulu,Pochalla,1032.13
Gulu,Pugnido,1023.2
Gulu,Renk,1879.86
Gulu,Rhino,217.66
Gulu,Rubkona,959.4
Gulu,Rumbek,655.01
Gulu,Tambura,1117.12
Gulu,Terakeka,348.65
Gulu,Tierkidi,1060.33
Gulu,Torit,254.93
Gulu,Wau,869.9
Gulu,West Kordofan,1905.36
Gulu,Wunagak,1567.66
Gulu,Yei,317.4
Gulu,Yirol,548.65
Jewi,Juba,1008.06
Jewi,Kakuma,839.73
Jewi,Kapoeta,747.62
Jewi,Khartoum,979.19
Jewi,Kiryandongo,1171.61
Jewi,Kule,82.57
Jewi,Lainya,1087.4
Jewi,Lekr,1104.91
Jewi,Lolimi,689.81
Jewi,Magwi,988.47
Jewi,Malakal,557.83
Jewi,Malut,413.9
Jewi,Maridi,1286.93
Jewi,Mayom,1549.84
Jewi,Melut,442.02
Jewi,Mongalla,620.14
Jewi,Mundri,1196.86
Jewi,Mvolo,1285.63
Jewi,Nasir,190.24
Jewi,Pariang,1430.81
Jewi,Pibor,1316.87
Jewi,Pochalla,129.71
Jewi,Pugnido,121.14
Jewi,Renk,551.04
Jewi,Rhino,1165.84
Jewi,Rubkona,1506.18
Jewi,Rumbek,1813.8
Jewi,Tambura,1978.95
Jewi,Terakeka,1080.02
Jewi,Tierkidi,64.27
Jewi,Torit,881.05
Jewi,Wau,1769.01
Jewi,West Kordofan,1484.31
Jewi,Wunagak,603.05
Jewi,Yei,1142.28
Jewi,Yirol,1289.04
Juba,Kakuma,517.94
Juba,Kapoeta,269.59
Juba,Khartoum,1554.53
Juba,Kiryandongo,389.41
Juba,Kule,1019.52
Juba,Lainya,92.59
Juba,Lekr,140.12
Juba,Lolimi,327.18
Juba,Magwi,132.72
Juba,Malakal,1498.74
Juba,Malut,1353.57
Juba,Maridi,288.03
Juba,Mayom,774.32
Juba,Melut,1383.65
Juba,Mongalla,407.5
Juba,Mundri,197.1
Juba,Mvolo,293.54
Juba,Nasir,1130.15
Juba,Pariang,811.25
Juba,Pibor,409.56
Juba,Pochalla,1001.44
Juba,Pugnido,993.01
Juba,Renk,1614.26
Juba,Rhino,323.18
Juba,Rubkona,694.05
Juba,Rumbek,392.89
Juba,Tambura,860.79
Juba,Terakeka,75.59
Juba,Tierkidi,1006.83
Juba,Torit,133.92
Juba,Wau,612.97
Juba,West Kordofan,1639.73
Juba,Wunagak,1543.43
Juba,Yei,149.74
Juba,Yirol,286.73
Kakuma,Kapoeta,228.57
Kakuma,Khartoum,1767.19
Kakuma,Kiryandongo,465.06
Kakuma,Kule,851.19
Kakuma,Lainya,600.22
Kakuma,Lekr,463.55
Kakuma,Lolimi,172.36
Kakuma,Magwi,422.22
Kakuma,Malakal,1330.41
Kakuma,Malut,1185.24
Kakuma,Maridi,801.43
Kakuma,Mayom,1272.71
Kakuma,Melut,1215.32
Kakuma,Mongalla,248.1
Kakuma,Mundri,711.75
Kakuma,Mvolo,803.17
Kakuma,Nasir,962.59
Kakuma,Pariang,1308.16
Kakuma,Pibor,803.88
Kakuma,Pochalla,810.38
Kakuma,Pugnido,801.46
Kakuma,Renk,1304.85
Kakuma,Rhino,513.98
Kakuma,Rubkona,1190.97
Kakuma,Rumbek,886.27
Kakuma,Tambura,1349.09
Kakuma,Terakeka,590.57
Kakuma,Tierkidi,838.51
Kakuma,Torit,363.6
Kakuma,Wau,1101.1
Kakuma,West Kordofan,2130.61
Kakuma,Wunagak,1375.11
Kakuma,Yei,654.82
Kakuma,Yirol,800.97
Kapoeta,Khartoum,1676.04
Kapoeta,Kiryandongo,431.31
Kapoeta,Kule,759.4
Kapoeta,Lainya,352.75
Kapoeta,Lekr,377.77
Kapoeta,Lolimi,61.19
Kapoeta,Magwi,254.3
Kapoeta,Malakal,1238.62
Kapoeta,Malut,1093.45
Kapoeta,Maridi,547.93
Kapoeta,Mayom,1032.47
Kapoeta,Melut,1123.53
Kapoeta,Mongalla,146.52
Kapoeta,Mundri,458.18
Kapoeta,Mvolo,550.69
Kapoeta,Nasir,870.79
Kapoeta,Pariang,1069.67
Kapoeta,Pibor,579.83
Kapoeta,Pochalla,737.16
Kapoeta,Pugnido,728.74
Kapoeta,Renk,1214.62
Kapoeta,Rhino,439.32
Kapoeta,Rubkona,952.79
Kapoeta,Rumbek,656.61
Kapoeta,Tambura,1110.14
Kapoeta,Terakeka,342.14
Kapoeta,Tierkidi,746.71
Kapoeta,Torit,138.72
Kapoeta,Wau,876.69
Kapoeta,West Kordofan,1899.06
Kapoeta,Wunagak,1283.31
Kapoeta,Yei,402.99
Kapoeta,Yirol,548.38
Khartoum,Kiryandongo,1923.58
Khartoum,Kule,1008.84
Khartoum,Lainya,1635.1
Khartoum,Lekr,1681.37
Khartoum,Lolimi,1618.16
Khartoum,Magwi,1679.51
Khartoum,Malakal,770.39
Khartoum,Malut,605.2
Khartoum,Maridi,1422.79
Khartoum,Mayom,935.81
Khartoum,Melut,643.7
Khartoum,Mongalla,1535.86
Khartoum,Mundri,1397.31
Khartoum,Mvolo,1288.61
Khartoum,Nasir,989.69
Khartoum,Pariang,816.95
Khartoum,Pibor,1953.08
Khartoum,Pochalla,1063.46
Khartoum,Pugnido,1054.53
Khartoum,Renk,456.49
Khartoum,Rhino,1860.87
Khartoum,Rubkona,892.15
Khartoum,Rumbek,1181.56
Khartoum,Tambura,1381.33
Khartoum,Terakeka,1488.78
Khartoum,Tierkidi,938.41
Khartoum,Torit,1681.69
Khartoum,Wau,1136.33
Khartoum,West Kordofan,719.15
Khartoum,Wunagak,815.21
Khartoum,Yei,1593.26
Khartoum,Yirol,1287.96
Kiryandongo,Kule,1183.46
Kiryandongo,Lainya,470.18
Kiryandongo,Lekr,271.9
Kiryandongo,Lolimi,488.44
Kiryandongo,Magwi,258.85
Kiryandongo,Malakal,1625.32
Kiryandongo,Malut,1483.09
Kiryandongo,Maridi,588.48
Kiryandongo,Mayom,1123.57
Kiryandongo,Melut,1513.4
Kiryandongo,Mongalla,572.29
Kiryandongo,Mundri,581.79
Kiryandongo,Mvolo,659.54
Kiryandongo,Nasir,1294.86
Kiryandongo,Pariang,1155.2
Kiryandongo,Pibor,708.49
Kiryandongo,Pochalla,1142.66
Kiryandongo,Pugnido,1132.85
Kiryandongo,Renk,1984.71
Kiryandongo,Rhino,246.24
Kiryandongo,Rubkona,1042.62
Kiryandongo,Rumbek,767.4
Kiryandongo,Tambura,874.23
Kiryandongo,Terakeka,461.59
Kiryandongo,Tierkidi,1170.78
Kiryandongo,Torit,361.02
Kiryandongo,Wau,983.28
Kiryandongo,West Kordofan,1969.59
Kiryandongo,Wunagak,1670.11
Kiryandongo,Yei,409.4
Kiryandongo,Yirol,662.05
Kule,Lainya,1098.4
Kule,Lekr,1112.55
Kule,Lolimi,700.81
Kule,Magwi,999.21
Kule,Malakal,551.86
Kule,Malut,407.93
Kule,Maridi,1297.94
Kule,Mayom,1541.14
Kule,Melut,436.07
Kule,Mongalla,635.19
Kule,Mundri,1207.87
Kule,Mvolo,1296.63
Kule,Nasir,129.04
Kule,Pariang,1422.11
Kule,Pibor,1327.7
Kule,Pochalla,168.95
Kule,Pugnido,160.38
Kule,Renk,542.39
Kule,Rhino,1173.49
Kule,Rubkona,1497.48
Kule,Rumbek,1805.1
Kule,Tambura,1966.67
Kule,Terakeka,1091.02
Kule,Tierkidi,103.42
Kule,Torit,891.87
Kule,Wau,1760.31
Kule,West Kordofan,1472.04
Kule,Wunagak,597.08
Kule,Yei,1153.28
Kule,Yirol,1300.04
Lainya,Lekr,155.47
Lainya,Lolimi,404.39
Lainya,Magwi,215.87
Lainya,Malakal,1578.08
Lainya,Malut,1432.9
Lainya,Maridi,237.05
Lainya,Mayom,852.32
Lainya,Melut,1462.99
Lainya,Mongalla,488.25
Lainya,Mundri,186.14
Lainya,Mvolo,282.56
Lainya,Nasir,1209.48
Lainya,Pariang,888.15
Lainya,Pibor,490.36
Lainya,Pochalla,1058.05
Lainya,Pugnido,1049.12
Lainya,Renk,1694.81
Lainya,Rhino,198.52
Lainya,Rubkona,773.05
Lainya,Rumbek,475.33
Lainya,Tambura,539.65
Lainya,Terakeka,159.93
Lainya,Tierkidi,1086.17
Lainya,Torit,217.12
Lainya,Wau,694.78
Lainya,West Kordofan,1720.28
Lainya,Wunagak,1622.77
Lainya,Yei,58.03
Lainya,Yirol,367.23
Lekr,Lolimi,435.47
Lekr,Magwi,139.23
Lekr,Malakal,1592.58
Lekr,Malut,1415.15
Lekr,Maridi,317.06
Lekr,Mayom,901.92
Lekr,Melut,1445.46
Lekr,Mongalla,509.4
Lekr,Mundri,330.85
Lekr,Mvolo,419.77
Lekr,Nasir,1224.75
Lekr,Pariang,939.06
Lekr,Pibor,535.61
Lekr,Pochalla,1075.58
Lekr,Pugnido,1066.65
Lekr,Renk,1741.11
Lekr,Rhino,141.35
Lekr,Rubkona,821.87
Lekr,Rumbek,527.17
Lekr,Tambura,615.56
Lekr,Terakeka,213.48
Lekr,Tierkidi,1099.9
Lekr,Torit,241.44
Lekr,Wau,732.37
Lekr,West Kordofan,1766.61
Lekr,Wunagak,1637.27
Lekr,Yei,141.88
Lekr,Yirol,418.81
Lolimi,Magwi,311.88
Lolimi,Malakal,1180.49
Lolimi,Malut,1035.32
Lolimi,Maridi,605.24
Lolimi,Mayom,1090.18
Lolimi,Melut,1065.4
Lolimi,Mongalla,85.93
Lolimi,Mundri,515.49
Lolimi,Mvolo,608.24
Lolimi,Nasir,812.66
Lolimi,Pariang,1127.42
Lolimi,Pibor,637.11
Lolimi,Pochalla,677.57
Lolimi,Pugnido,669.14
Lolimi,Renk,1156.49
Lolimi,Rhino,487.52
Lolimi,Rubkona,1010.54
Lolimi,Rumbek,714.17
Lolimi,Tambura,1167.87
Lolimi,Terakeka,399.8
Lolimi,Tierkidi,688.58
Lolimi,Torit,194.88
Lolimi,Wau,920.67
Lolimi,West Kordofan,1952.87
Lolimi,Wunagak,1225.18
Lolimi,Yei,460.29
Lolimi,Yirol,605.94
Magwi,Malakal,1479.24
Magwi,Malut,1334.06
Magwi,Maridi,417.68
Magwi,Mayom,895.65
Magwi,Melut,1364.15
Magwi,Mongalla,397.35
Magwi,Mundri,326.93
Magwi,Mvolo,414.6
Magwi,Nasir,1111.41
Magwi,Pariang,932.58
Magwi,Pibor,463.17
Magwi,Pochalla,959.13
Magwi,Pugnido,950.2
Magwi,Renk,1739.23
Magwi,Rhino,201.73
Magwi,Rubkona,815.39
Magwi,Rumbek,520.8
Magwi,Tambura,973.85
Magwi,Terakeka,205.68
Magwi,Tierkidi,986.56
Magwi,Torit,121.47
Magwi,Wau,725.85
Magwi,West Kordofan,1764.71
